Modelo,Base,Replica,MAPE_test
RandomForest,solar_radiation,5,0.4722896245288141
RandomForest,solar_radiation,4,0.45650197073015936
RandomForest,solar_radiation,3,0.4455805727346819
RandomForest,solar_radiation,2,0.4603131369933665
RandomForest,solar_radiation,1,0.49450865117993503
RandomForest,medical_cost,5,0.32553536080251144
RandomForest,medical_cost,4,0.29102731845261776
RandomForest,medical_cost,3,0.31059051421172645
RandomForest,medical_cost,2,0.28928968267280186
RandomForest,medical_cost,1,0.2914391978412439
RandomForest,house_rent,5,0.3335173057876668
RandomForest,house_rent,4,0.33068178588003033
RandomForest,house_rent,3,0.3673277693765061
RandomForest,house_rent,2,0.3242129406671505
RandomForest,house_rent,1,0.4186430883798332
RandomForest,employee_performance,5,0.06457786196486069
RandomForest,employee_performance,4,0.0637471301140858
RandomForest,employee_performance,3,0.061830056296105634
RandomForest,employee_performance,2,0.068145683035906
RandomForest,employee_performance,1,0.07762221305364575
RandomForest,car_price,5,0.209161857458029
RandomForest,car_price,4,0.2397831639165015
RandomForest,car_price,3,0.22650163364507547
RandomForest,car_price,2,0.2210985769530085
RandomForest,car_price,1,0.23107666257707685
RandomForest,Blueberry_Yield,5,0.027018865349170314
RandomForest,Blueberry_Yield,4,0.027602362275062037
RandomForest,Blueberry_Yield,3,0.02513001506527587
RandomForest,Blueberry_Yield,2,0.02340452231658694
RandomForest,Blueberry_Yield,1,0.027206327328001035
RandomForest,bike_sharing_hour,5,0.4312659482718066
RandomForest,bike_sharing_hour,4,0.4266220077450355
RandomForest,bike_sharing_hour,3,0.4186531769422834
RandomForest,bike_sharing_hour,2,0.4170602769854107
RandomForest,bike_sharing_hour,1,0.4194176007061562
